hash;Avast;AVG;BitDefender;ESET-NOD32;FireEye;Kaspersky;McAfee;Microsoft;Symantec;TrendMicro;detections;Neural Network;Malware
29ab7a6bfebc276d50f9d6933616229c;1;1;1;1;1;1;1;1;1;1;10;1;1
326f92541289d653456900e9b7afb9ec;1;1;1;1;1;1;1;1;1;1;10;1;1
f888bb77af9018a617b8a74d739ac29f;1;1;1;1;1;1;1;1;1;1;10;1;1
624ab110424a9e1ca6d2abe4b9ddaa65;1;1;1;1;1;1;1;1;1;1;10;1;1
c9688049153282aa7cb58296f86b21c1;1;1;1;1;1;1;1;1;1;1;10;1;1
ad932db9a140326038cbb899bad01d2b;1;1;1;1;1;1;1;1;1;0;9;1;1
5f8de689089e31366591d5e089aad91d;1;1;1;1;1;1;1;1;1;1;10;1;1
6ba9f858eea359b75dfa2f7f4505959a;1;1;1;1;1;1;1;1;1;1;10;1;1
dfdb2bad761d66f5bea22e0da0d910d2;1;1;1;1;1;1;1;1;1;1;10;1;1
a925cd618ba6ead6b73ded89b70e69b7;1;1;1;1;1;1;1;1;0;1;9;1;1
7bf5ded25fe2da584758d62b972f137c;1;1;1;1;1;1;1;1;1;1;10;1;1
64bb4ab253bd455290eb20afb849332d;1;1;1;1;1;1;1;1;1;1;10;1;1
e38375a3dca073b1ed055c36a6b7da2c;1;1;1;1;1;1;1;1;1;1;10;1;1
ef56416513d16dbb11d2cc4713f2eb8b;1;1;1;1;1;1;1;1;1;1;10;1;1
6da8049b0861d01e76503c56bc6b268e;1;1;1;1;1;0;1;1;1;0;8;1;1
605f8f1c00cc5cae57f2ef0b3393ff4c;1;1;1;1;1;1;1;1;1;1;10;1;1
468b52b9798525ab9a50b62fa32052d4;1;1;1;1;1;1;1;1;1;1;10;1;1
dee42cc0b843e7c2da7b7168bf19b2d9;1;1;1;1;1;1;1;1;1;1;10;1;1
21d3d4a548696aac6bbe682a8e745213;1;1;1;1;1;1;1;1;1;1;10;1;1
3d5a16f1c85d1e42822391dbce3193d2;1;1;1;1;1;1;1;1;1;1;10;1;1
0d5236b8322ad84fdeddc2c0687bf447;1;1;1;1;1;1;1;1;1;1;10;1;1
6b73d2d7e73ef643433cdfd0666eb910;1;1;1;1;1;1;1;1;1;1;10;1;1
ee68d3b0f702077810bddec50179f75d;1;1;1;1;1;1;1;1;1;1;10;1;1
5d1c219961c3ad582b5f412fdb6decdf;1;1;1;1;1;1;1;1;1;1;10;1;1
d7e71fd11bcd87a59da8b00143883adb;1;1;1;1;1;1;1;1;1;1;10;1;1
6aa2791216f34dc5813a75add3206b95;1;1;1;1;1;1;1;1;1;1;10;1;1
e8f0814c95fc4d19aec0bfee797fb5ba;1;1;1;1;1;1;1;1;1;1;10;1;1
f041df7a6ee57d882d7a935f565c590f;1;1;1;1;1;1;1;1;1;1;10;1;1
92fdecff3324d69327bbaa4f92f8a219;1;1;1;1;1;1;1;1;1;1;10;1;1
83959a6c216d8504ac597fe60231f6d5;0;1;1;1;1;1;1;1;1;1;9;0;1
68a71573ebeb03f1da55093030a0f215;1;1;1;1;1;1;1;1;1;1;10;1;1
12bedb59fadcc2afc87bb6f09a6e3dda;1;1;1;1;1;1;1;1;1;1;10;1;1
2d96d4b232edab88dd7bf3ab0e87f5f0;1;1;1;1;1;1;1;1;1;1;10;1;1
0879e42f499d25bc6651cef6c74e2c42;0;0;0;0;1;1;0;1;0;0;3;1;1
1aef21df70599400ae8ede896db56435;1;1;1;1;1;1;1;1;1;1;10;1;1
cc0e9e254ddbde7006a9192cd06bca44;1;1;1;1;1;1;1;1;1;1;10;1;1
2deb0fb43b9eaba2540209b3d6d3de1a;0;1;0;1;1;1;1;1;0;0;6;1;1
afb5ca30463a0f986b50e18b5ea084fb;1;1;1;1;1;1;1;1;1;1;10;1;1
c30e71469470e7a0e0a1e8c8b4b87cb0;0;1;1;1;0;1;1;1;1;1;8;0;1
40ebf8bb674b984b2485616e70581f47;1;1;1;1;1;1;1;1;1;1;10;1;1
65fe80a7288aebb3e14c7db814feb974;1;1;1;1;1;1;1;1;1;1;10;1;1
c88381275b5128caaebe2d6fcc13cc11;1;1;1;1;0;1;1;1;1;1;9;1;1
e9567d62f6cbad2e5c23cc82f5f62377;1;1;1;1;1;1;1;1;1;1;10;1;1
bdaccc6f8480f16fbd12654b43fba4ac;1;1;1;1;1;1;1;1;1;1;10;1;1
5f5a12c375cb23f01cb8a655722994a4;0;0;0;1;1;0;0;1;0;0;3;1;1
604f34919b1cb3c002f78789a183aa1e;1;1;1;1;1;1;1;1;1;1;10;1;1
0df90ca23f1ed4743c6be653f91f6b6c;1;1;1;1;1;1;1;1;1;1;10;1;1
7e6a1a7b83ebc2ae8445e9421d18fc8d;1;1;1;1;1;1;1;1;1;1;10;1;1
1c843fada51d76589c75c7c1075168a9;1;1;1;1;0;1;1;1;1;1;9;1;1
65670bbd7accd8116e1094221bb1d8ce;1;1;1;1;1;1;1;1;1;1;10;1;1
00b1755c14a681b19f3f22bca9cb5bb4;1;1;1;1;1;1;1;1;1;1;10;1;1
45f1f8bea5d233ff5f5f481703d9b52b;1;1;1;1;1;1;1;1;1;1;10;1;1
e0300df86cbcbacc0f3e5a846e0163ce;1;1;1;1;1;1;1;1;1;1;10;1;1
a5d2f1bcf4354d0b3128c0a85f0d95ea;1;1;1;1;1;1;1;1;1;1;10;1;1
8e30f5bfc2a80c0c8b1e1a2faff41563;1;1;1;1;1;1;1;1;1;1;10;1;1
fdeda41485a1697ed40fff07edd9e69b;1;1;1;1;1;1;1;1;1;1;10;1;1
38128c21bb7c951f6916f29d641a3ffc;1;1;1;1;1;1;1;1;1;1;10;1;1
0a6e30eb753028501ca0223f1b85f25d;1;1;1;1;1;1;1;1;1;1;10;1;1
ad68d5030af9e2d34f3e143047b7bcc8;0;0;0;0;0;0;0;0;0;0;0;1;0
046f4b2ec633529801480298ebdaf36e;1;1;1;1;1;1;1;1;1;1;10;1;1
13c7191ab2781a2d225665a4c1b23b17;1;1;1;1;1;1;1;1;1;1;10;1;1
c28afe00845eae683e3dc46e502fb915;1;1;1;1;1;1;1;1;1;1;10;1;1
342fb9b0e4017fd2bd5feb42e4235ab0;1;1;1;1;1;1;1;1;1;1;10;1;1
b5a7142ef42544816a4627f260bd5f10;1;1;1;1;1;1;1;1;1;1;10;1;1
d4c6667f6be4b2ae95ff2cb61ec704b8;0;0;0;1;1;0;0;0;0;0;2;1;1
b722710f6ba5ab67822281a3506ea043;1;1;1;1;1;1;1;1;1;1;10;1;1
95e7f7e025183cf425d904f07329d753;1;1;1;1;1;1;1;1;1;0;9;1;1
42f63788c9b23d3e4c7e8510b4a2a792;1;1;1;1;1;1;1;1;1;0;9;1;1
30a88aaca2412bcc3914382dce41ae1a;1;1;1;1;1;1;1;1;1;1;10;1;1
fa6a867e5ddc94c95ece3639aa6704e2;1;1;1;1;1;1;1;1;1;1;10;1;1
6beccea67695b7d08f4150c021804884;1;1;1;1;1;1;1;1;1;1;10;1;1
5656d5172b186f1c766724bc6dc3b0e6;1;1;1;1;1;1;1;1;1;1;10;1;1
33207be99a4d70202963b1ce09f503dd;1;1;1;1;1;1;1;1;1;1;10;1;1
c088802b03e3bc1ef0082f268847a5f7;1;1;1;1;1;1;1;1;1;1;10;1;1
ea9139664e5a3182dbafcdc476785de1;1;1;1;1;1;1;1;1;1;1;10;1;1
